ra,dec,simbad_name,obsid
124.872566214,70.705186325,Holmberg_II_X-1,00011102023
124.8706196152,70.7049354939,Holmberg_II_X-1,00011102023
124.8718641087,70.7044105696,Holmberg_II_X-1,00011102023
124.870474959,70.7056848004,Holmberg_II_X-1,00011102024
124.8668733425,70.7052541931,Holmberg_II_X-1,00011102024
124.871635525,70.7045039306,Holmberg_II_X-1,00011102025
124.8707659334,70.704269956,Holmberg_II_X-1,00011102025
124.8689461084,70.7051213071,Holmberg_II_X-1,00011102025
124.8684349302,70.705347055,Holmberg_II_X-1,00011102025
124.8715579196,70.7061115239,Holmberg_II_X-1,00011102025
124.8724674723,70.7051658226,Holmberg_II_X-1,00011102026
124.8760822399,70.7052158423,Holmberg_II_X-1,00011102026
124.8713795113,70.7055371105,Holmberg_II_X-1,00011102026
124.8738469396,70.7049755549,Holmberg_II_X-1,00011102027
124.871375019,70.7063100351,Holmberg_II_X-1,00011102028
124.8694602309,70.7049425268,Holmberg_II_X-1,00011102028
124.8712391918,70.7039370106,Holmberg_II_X-1,00011102029
124.871798754,70.7050910052,Holmberg_II_X-1,00011102029
124.871958926,70.7055989136,Holmberg_II_X-1,00011102030
124.8739681923,70.7053289806,Holmberg_II_X-1,00011102030
124.8724807496,70.7055320099,Holmberg_II_X-1,00011102031
124.8720387696,70.7051890961,Holmberg_II_X-1,00011102031
124.8741447002,70.7045063323,Holmberg_II_X-1,00011102032
124.8717849935,70.7053323021,Holmberg_II_X-1,00011102033
124.8737905021,70.7050341682,Holmberg_II_X-1,00011102033
124.8683504189,70.7048366028,Holmberg_II_X-1,00011102034
124.8704598025,70.7046485211,Holmberg_II_X-1,00011102034
124.8691906687,70.7058466258,Holmberg_II_X-1,00011102034
124.8695192586,70.7051005368,Holmberg_II_X-1,00011102035
124.8720452203,70.7051505064,Holmberg_II_X-1,00011102035
124.8699833201,70.7049376929,Holmberg_II_X-1,00011102035
124.8724196419,70.7052987143,Holmberg_II_X-1,00011102036
124.8745288576,70.7042707799,Holmberg_II_X-1,00011102036
124.8714073029,70.7048419988,Holmberg_II_X-1,00011102037
124.8714928824,70.7058703683,Holmberg_II_X-1,00011102037
124.8679672739,70.7059654773,Holmberg_II_X-1,00011102038
124.8702270161,70.7054532389,Holmberg_II_X-1,00011102038
124.8705186606,70.7051362669,Holmberg_II_X-1,00011102038
124.8697450893,70.7058397081,Holmberg_II_X-1,00011102040
124.872547391,70.7062940704,Holmberg_II_X-1,00011102040
124.8721439905,70.7054508189,Holmberg_II_X-1,00011102041
124.8732815584,70.705086974,Holmberg_II_X-1,00011102041
124.8713580862,70.7064085016,Holmberg_II_X-1,00011102042
124.8717495198,70.7046023318,Holmberg_II_X-1,00011102042
124.8715634907,70.7049776473,Holmberg_II_X-1,00014014001
124.8698016472,70.70575145,Holmberg_II_X-1,00014014002
124.8716085638,70.7054881494,Holmberg_II_X-1,00014014003
124.871629493,70.7045499624,Holmberg_II_X-1,00014014004
124.8685953593,70.7056330127,Holmberg_II_X-1,00014014005
124.8680579375,70.7042773455,Holmberg_II_X-1,00014014006
124.8725320944,70.7054273004,Holmberg_II_X-1,00014014007
124.8714170106,70.7051697891,Holmberg_II_X-1,00014014008
124.8736825063,70.7057943119,Holmberg_II_X-1,00014014009
124.8653533153,70.7053831351,Holmberg_II_X-1,00014014010
124.8702876132,70.704938104,Holmberg_II_X-1,00014014011
124.8712301566,70.7050337697,Holmberg_II_X-1,00014014012
124.8685124375,70.70448857,Holmberg_II_X-1,00014014013
124.868319121,70.7050871747,Holmberg_II_X-1,00014014017
124.8732534191,70.7066228769,Holmberg_II_X-1,00014014019
124.8704351038,70.7053903044,Holmberg_II_X-1,00014014020
124.8691566086,70.7052449967,Holmberg_II_X-1,00014014022
124.8692897765,70.7059738332,Holmberg_II_X-1,00014014024
124.8679370159,70.7052756287,Holmberg_II_X-1,00014014025
124.8691357572,70.7052579336,Holmberg_II_X-1,00014014026
124.8742708003,70.7023556115,Holmberg_II_X-1,00014014027
124.8708055334,70.7033973135,Holmberg_II_X-1,00014014028
124.8656777453,70.7043653884,Holmberg_II_X-1,00014014028
124.8724375321,70.7041831778,Holmberg_II_X-1,00014014029
124.8697144091,70.7049169471,Holmberg_II_X-1,00014014029
124.8723288745,70.7041822595,Holmberg_II_X-1,00014014029
124.8673810604,70.7054788036,Holmberg_II_X-1,00014014029
124.8718433195,70.7047872846,Holmberg_II_X-1,00014014030
124.8692715213,70.7053118708,Holmberg_II_X-1,00014014030
124.8688674296,70.7051678139,Holmberg_II_X-1,00014014030
124.869521166,70.7048335634,Holmberg_II_X-1,00014014030
124.8691554597,70.7043632267,Holmberg_II_X-1,00014014031
124.8756389675,70.7043692269,Holmberg_II_X-1,00014014031
124.8686118375,70.7046296386,Holmberg_II_X-1,00014014031
124.8686778834,70.7048961015,Holmberg_II_X-1,00014014032
124.8694008014,70.7052883708,Holmberg_II_X-1,00014014032
124.874745167,70.704175095,Holmberg_II_X-1,00014014033
124.8705793085,70.7053862851,Holmberg_II_X-1,00014014034
124.8702546181,70.7057243015,Holmberg_II_X-1,00014014035
124.8719297896,70.705262441,Holmberg_II_X-1,00014014036
124.8741876792,70.7051753472,Holmberg_II_X-1,00014014037
124.8721098636,70.7052364949,Holmberg_II_X-1,00014014038
124.8689749773,70.7039679353,Holmberg_II_X-1,00014014038
124.8718706181,70.7046303776,Holmberg_II_X-1,00014014040
124.8732141617,70.7053530503,Holmberg_II_X-1,00014014040
124.8713623026,70.7059101244,Holmberg_II_X-1,00014014041
124.8707362376,70.7050534393,Holmberg_II_X-1,00014014043
124.8727498012,70.7063865734,Holmberg_II_X-1,00014014043
124.8714806333,70.7048965668,Holmberg_II_X-1,00014014044
124.8695477784,70.7058959418,Holmberg_II_X-1,00014014044
124.8692097541,70.7044021867,Holmberg_II_X-1,00014014044
124.8727274885,70.7046590577,Holmberg_II_X-1,00014014045
124.8690105767,70.7053638994,Holmberg_II_X-1,00014014046
124.8753472805,70.7052948645,Holmberg_II_X-1,00035475001
124.8716979111,70.7057832928,Holmberg_II_X-1,00035475001
124.8695786825,70.7048071603,Holmberg_II_X-1,00035475001
124.8714164983,70.704773948,Holmberg_II_X-1,00035475001
124.871584348,70.704865445,Holmberg_II_X-1,00035475001
124.8706609162,70.7051802314,Holmberg_II_X-1,00035475002
124.8696288802,70.7049717202,Holmberg_II_X-1,00035475002
124.8732585174,70.7047438228,Holmberg_II_X-1,00035475002
124.8712054095,70.7051921283,Holmberg_II_X-1,00035475002
124.8718660871,70.705241928,Holmberg_II_X-1,00035475003
124.870441904,70.7057698347,Holmberg_II_X-1,00035475003
124.8660637351,70.7063515178,Holmberg_II_X-1,00035475003
124.8705643511,70.7042299511,Holmberg_II_X-1,00035475003
124.8691989582,70.7049392404,Holmberg_II_X-1,00035475003
124.867862879,70.704605494,Holmberg_II_X-1,00035475003
