,ndata,mean,std,max,min,max/min,sigma_xs,F_var,kurtosis,von_neumann,skew,t_diff_max,t_diff_min,t_diff_mean,y_diff_max,y_diff_min,y_diff_mean,ls_z_fal,ls_pow[0],ls_freq[0],ls_period[0],ls_fap[0],ls_pow[1],ls_freq[1],ls_period[1],ls_fap[1],ls_pow[2],ls_freq[2],ls_period[2],ls_fap[2],simbad_name,readable_name,FILTER
30,3,17.691652297973633,0.059140902,17.761929,17.61724,1.0082128,0.0019589721535642943,0.0025017605270775257,-1.500009036671285,3.6179559197317426,-0.10453755354536891,41.84793894235918,37.767371460882714,39.807655201620946,0.14468765,-0.066137314,0.03927517,,,,,,,,,,,,,,Holmberg_II_X-1,Holmberg II X-1,B
31,166,16.514301300048828,0.040881723,16.623749,16.394585,1.013978,0.0007956625083012574,0.001708064408822121,0.10997115757677278,0.8205085558782647,0.4874316355751033,2463.592211453237,0.0,34.41931576755543,0.11647987,-0.10121727,0.0006639076,0.11557045561568982,0.2694750957925954,0.005789417836245177,172.72893895123772,0.0,0.1821625659217937,0.3464367614391834,2.8865296969229086,0.0010000000000000009,0.17325385670219473,0.9934307650237157,1.0066126751934519,0.0,Holmberg_II_X-1,Holmberg II X-1,U
32,34,15.88608169555664,0.064278595,16.08978,15.777357,1.019802,0.002519649535636692,0.003159754036522228,1.2108298141854172,1.407748781333789,0.7677658562474036,1380.1657712859887,0.1875524126153323,172.0583956638401,0.20561409,-0.13656807,0.004262635,0.4985241780353311,0.4960602934679275,0.23784700182334384,4.204383457995952,0.015000000000000013,0.4799741419520566,0.0030782232462191086,324.8627276232387,0.01200000000000001,0.4149296376592865,0.5068184036560407,1.9730933067668628,0.04800000000000004,Holmberg_II_X-1,Holmberg II X-1,UVM2
33,58,16.098270416259766,0.06975755,16.479994,15.9363,1.0341166,0.003898108570740141,0.0038783566792752163,13.39996724828697,2.1574607414587677,2.6697408309423944,1379.6823351160856,0.1302211429356248,98.84824666168169,0.4577427,-0.38272285,0.0012170223,0.3106927851737355,0.17391582259185734,0.8809240280519639,1.1351716699240857,0.31200000000000006,0.170199161442232,0.03969124170303928,25.194475080466603,0.30100000000000005,0.16667498999371572,0.4744530108579247,2.1076902814712053,0.34199999999999997,Holmberg_II_X-1,Holmberg II X-1,UVW1
34,52,15.799062728881836,0.06306053,15.945566,15.558593,1.024872,0.0027115288763665236,0.0032959134104186393,2.891741327920771,1.5238347674355006,-0.4135824752719533,1516.073252201968,0.030607161577790976,111.29701323291374,0.27694988,-0.17306328,0.0029522579,0.342549202144388,0.3896469702634391,0.9800795303997899,1.0203253603226303,0.0030000000000000027,0.34151783609647696,0.6933709926352565,1.44222935574411,0.013000000000000012,0.3231587383863288,0.26987954426461286,3.705356783245176,0.02200000000000002,Holmberg_II_X-1,Holmberg II X-1,UVW2
35,3,17.859121322631836,0.1013372,17.950111,17.71774,1.0131153,0.0066731659074624385,0.004574102302173789,-1.5000156030577527,1.8709378315875391,-0.6229335019272566,41.84881934051373,37.776858240737056,39.81283879062539,-0.04059601,-0.19177628,-0.11618614,,,,,,,,,,,,,,Holmberg_II_X-1,Holmberg II X-1,V
36,23,17.424240112304688,2.2604103,20.007378,13.263056,1.5085044,5.318527384944584,0.13235545723524925,-1.1274668584205083,0.5559234462477899,-0.6650901840857032,2241.1511964193196,0.0,110.87839777607786,5.0703487,-3.9515915,-0.11660385,1.4022523145405164,0.799408310255774,0.040683113106359345,24.580223184633475,0.03600000000000003,4.25e-322,0.0,-6.365978185377242e-236,4.058760781856251e+264,4.25e-322,0.0,2.1550576815415857e-305,-2.1376105468827535e-296,NOVA_Cyg_1989,V404Cyg,B
37,73,17.721193313598633,2.6086717,20.74861,12.34712,1.6804411,6.871288600033277,0.1479197389414857,-1.1952861101987937,0.14664982623298345,-0.6206599329685487,133.5408628074074,0.00823010568274185,2.9410091838094052,3.77699,-2.0430288,0.049833324,0.4076487422801937,0.6830504647881929,0.035001933945161254,28.56984992791355,0.0,0.5521508772748737,0.0605033844040322,16.5280010341596,0.0,0.4655707872716552,0.009500483486290314,105.25780097855561,0.0,NOVA_Cyg_1989,V404Cyg,U
38,24,18.541799545288086,2.558479,21.513468,14.778532,1.4557242,6.7798036734263105,0.1404289592950478,-1.655093800619241,0.2644364971590793,-0.13904668174934304,1021.5429541155099,0.0,55.03318859743867,2.6764011,-2.5673084,-0.029579991,0.828778710020275,0.7869276144262654,0.03370753605005135,29.66695633033304,0.018000000000000016,0.725037201131816,0.06088481238149498,16.42445728064582,0.02400000000000002,0.43385717145850294,0.08695603676921707,11.50006413762875,0.28400000000000003,NOVA_Cyg_1989,V404Cyg,UVW1
39,24,15.928906440734863,2.0730982,17.860064,12.152578,1.4696522,4.473212378720443,0.13277728914492198,-1.0471107361290564,0.5212445214732344,-0.7756051067672676,2241.146762692115,0.0,106.05740512428494,5.0016727,-3.3697433,-0.04976082,0.7405661069610749,0.8135477977541561,0.04338885694633719,23.04739212735629,0.009000000000000008,0.7352355011383649,0.36642966230140206,2.7290367098541894,0.01100000000000001,0.691058227249275,0.015184279016859446,65.85758855522067,0.018000000000000016,NOVA_Cyg_1989,V404Cyg,V
