,simbad_name,readable_name,filter,N,SRCEXP_TOT,t_diff_mean,t_diff_std,t_diff_n_sigma,MAG_MEAN,COI_SRC_RATE_MEAN
175,[LM2005]_NGC_247_ULX1,NGC247 ULX-1,UVW2,25,34262.656,-2258705.0419925004,15457409.810194649,-0.14612441992078215,17.09986,0.9516151
176,[LM2005]_NGC_247_ULX1,NGC247 ULX-1,V,1,178.477,,,,17.53822,1.1624845
177,[LM2005]_NGC_3031_ULX1,M81 X-6,B,86,9966.631,-1898843.3391795298,46284314.423779316,-0.04102563390685049,19.316435,1.8206892
178,[LM2005]_NGC_3031_ULX1,M81 X-6,U,43,47123.98,336542.0759345236,95723247.59152602,0.0035157820529724305,31.380491,0.8552776
179,[LM2005]_NGC_3031_ULX1,M81 X-6,UVM2,52,45539.816,-3070912.9500382356,99188309.6958308,-0.030960432327715285,35.74545,0.1197584
180,[LM2005]_NGC_3031_ULX1,M81 X-6,UVW1,132,86415.16,2244947.676505725,31686393.469757713,0.07084894904964048,21.57305,0.33880505
181,[LM2005]_NGC_3031_ULX1,M81 X-6,UVW2,314,317460.2,1100267.619532939,25209005.55724545,0.043645816057060034,21.004436,0.26245567
182,[LM2005]_NGC_3031_ULX1,M81 X-6,V,85,9581.755,-1921445.41616369,46555708.99881357,-0.04127196121559777,18.60653,1.1148069
183,[LM2005]_NGC_4395_ULX1,NGC4395 ULX-1,B,138,56547.688,706608.7582259781,23702614.18191289,0.02981142724607907,18.827198,1.27837
184,[LM2005]_NGC_4395_ULX1,NGC4395 ULX-1,U,12,11768.703,-56192.38861272552,32743284.78895811,-0.0017161500128928743,18.142263,1.1265858
185,[LM2005]_NGC_4395_ULX1,NGC4395 ULX-1,UVM2,42,34883.117,-18106.71201707241,40623586.04382426,-0.0004457191937102523,17.712942,0.37765956
186,[LM2005]_NGC_4395_ULX1,NGC4395 ULX-1,UVW1,13,13193.084,-24189.585158333182,48266699.30174359,-0.0005011650995049367,17.904833,0.6055506
187,[LM2005]_NGC_4395_ULX1,NGC4395 ULX-1,UVW2,45,47755.66,502641.3062231595,17079178.66962692,0.029430063116386334,17.749765,0.658262
188,[LM2005]_NGC_4395_ULX1,NGC4395 ULX-1,V,1,110.09042,,,,18.431856,0.5660319
189,[LM2005]_NGC_4559_ULX1,NGC4559 ULX-1,B,7,1653.3556,-31720075.142661665,103981863.40097043,-0.30505392099335693,18.342167,1.9024103
190,[LM2005]_NGC_4559_ULX1,NGC4559 ULX-1,U,15,16448.9,2319452.348211425,1975497.9800181128,1.1741102100191256,17.283892,2.2145035
191,[LM2005]_NGC_4559_ULX1,NGC4559 ULX-1,UVM2,12,14642.379,-20778722.880473636,75222084.12879615,-0.27623168277145926,16.643867,0.9686335
192,[LM2005]_NGC_4559_ULX1,NGC4559 ULX-1,UVW1,46,36006.527,-340012.62857977813,11812273.249592753,-0.028784690414395943,16.84476,1.3602536
