Galaxy_Name,Galaxy_RA,Galaxy_DEC,n_obs,n_obs_uvot,n_obs_xrt,total_uvot_exp,total_xrt_exp
PGC140831              ,284.2819995,-78.4725556,11,10,11,18548.102000000003,18661.182999999997
NGC4030                ,180.0983565,-1.100072,11,10,11,33225.02,37048.179000000004
IC5357                 ,356.84568,-2.3006949,11,10,11,9968.836000000001,10559.261999999999
PGC101367              ,159.1564035,-27.7169465,11,11,11,5247.983,5329.512000000001
ESO501-099             ,162.018948,-25.1587007,11,9,9,42262.812999999995,42503.140999999996
NGC0508                ,20.9195265,33.2808629,11,11,11,10496.342999999999,9453.186999999998
NGC6269                ,254.491506,27.8544351,11,11,11,14476.076000000001,14513.894
NGC6292                ,255.76444650000002,61.0439147,11,11,11,12745.035,13109.640000000001
UGC02755               ,52.349409,39.7922826,11,0,10,0.0,757.2979999999999
IC5359                 ,356.9077455,-2.3168373,11,10,11,9968.836000000001,10559.261999999999
ESO555-027             ,90.90329100000001,-20.6542083,11,11,11,27651.306,28075.396
NGC1709                ,74.6833335,-0.4782778,11,11,11,7600.148,7664.240000000001
ESO422-041             ,77.6957145,-31.5970943,11,11,11,11976.166000000001,12162.433
IC0399                 ,75.4337025,-4.2887587,11,11,11,40154.310999999994,40316.132999999994
ESO240-010             ,354.435048,-47.5063808,11,11,11,21213.516,24917.043999999998
PGC323655              ,342.2696985,-64.3432064,11,11,11,5237.965,5297.444999999999
ESO240-011             ,354.4560705,-47.7274261,11,11,11,21213.516,24917.043999999998
NGC1374                ,53.819098499999996,-35.2263035,11,11,11,10154.486999999997,10135.667
ESO186-055             ,307.77348,-52.6132897,11,10,10,60351.905000000006,60632.218
NGC4569                ,189.20808,13.1633946,10,10,10,25965.488999999998,26003.592
UGC05055               ,142.54899,55.8524189,10,10,10,14322.999000000002,15313.614
NGC5691                ,219.472221,-0.3988812,10,10,10,8181.594,8204.860999999999
ESO264-032             ,160.1608785,-46.3167283,10,8,10,31248.232000000004,40888.337999999996
NGC1407                ,55.0496505,-18.5804571,10,10,10,5171.217,5236.658
NGC1358                ,53.415417000000005,-5.0895417,10,9,10,7148.958,7542.571000000001
PGC141471              ,159.0827715,-27.6564722,10,10,10,5195.091,5274.361000000001
