source_name,source_ra,source_dec,n_obs,n_obs_uvot,n_obs_xrt,total_uvot_exp,total_xrt_exp
2CXO J115106.8+550443 ,177.77870355135167,55.07870300688642,8,7,8,6570.188,6830.369
2CXO J031713.8-411034 ,49.307689265136105,-41.1762300811597,8,8,8,23274.119,23641.701999999997
2CXO J033847.7-261907 ,54.699077298414466,-26.318710990088324,8,8,8,5355.446,5401.6230000000005
2CXO J033847.7-261918 ,54.69885244141608,-26.32176575561293,8,8,8,5355.446,5401.6230000000005
2CXO J125709.4+272759 ,194.28940918799276,27.466427490153716,8,8,8,5705.365,5718.72
2CXO J145923.1-163746 ,224.84628777071657,-16.62952514067667,8,8,8,19152.531,19095.217
2CXO J133807.5-175343 ,204.5316203854727,-17.89529547381141,8,8,8,21663.566,22223.698
2CXO J033625.2-345918 ,54.105183571108,-34.98834511917241,8,8,8,5410.553,5331.657
2CXO J133805.7-175406 ,204.5239973700459,-17.901889173636015,8,8,8,21663.566,22223.698
2CXO J201657.5-704457 ,304.2396857941999,-70.74936119400004,8,8,8,3337.734,3382.954
2CXO J201655.6-704626 ,304.2318562194988,-70.77396180103038,8,8,8,3337.734,3382.954
2CXO J201656.5-704604 ,304.2355582752409,-70.76796647587561,8,8,8,3337.734,3382.954
2CXO J201656.7-704636 ,304.23663396255154,-70.77688587290203,8,8,8,3337.734,3382.954
2CXO J201653.3-704605 ,304.2222583088105,-70.76819097203936,8,8,8,3337.734,3382.954
2CXO J201657.8-704703 ,304.2408437737705,-70.78431714731762,8,8,8,3337.734,3382.954
2CXO J201700.9-704609 ,304.2537577831449,-70.76919789895844,8,8,8,3337.734,3382.954
2CXO J201649.1-704648 ,304.20459629318975,-70.78013599534731,8,8,8,3337.734,3382.954
2CXO J020938.1-100846 ,32.408952253200425,-10.146198237899442,8,8,8,20894.001999999997,21253.43
2CXO J201657.5-704459 ,304.2396937118551,-70.74991061618968,8,8,8,3337.734,3382.954
2CXO J020937.9-100848 ,32.408239490795665,-10.146782652783823,8,8,8,20894.001999999997,21253.43
2CXO J133802.9-175113 ,204.5124839821559,-17.85374121834883,8,8,8,21663.566,22223.698
2CXO J020921.0-100802 ,32.33785176430956,-10.134136175437252,8,8,8,20894.001999999997,21253.43
2CXO J082332.6+212017 ,125.88608585394115,21.338102617780184,8,8,8,9624.325,9931.906
2CXO J120627.3+524303 ,181.61395281806335,52.71760380036339,8,8,8,23664.385000000002,23743.297
2CXO J145921.7-163752 ,224.84051922547087,-16.631249799079743,8,8,8,19152.531,19095.217
2CXO J082333.7+212053 ,125.89047100139982,21.348132041894686,8,8,8,9624.325,9931.906
2CXO J082334.0+212051 ,125.89208062544219,21.347521081665246,8,8,8,9624.325,9931.906
2CXO J151523.3+553102 ,228.84718607244804,55.51732196562013,8,8,8,32447.333,32476.749
2CXO J114827.5+124338 ,177.11465744616203,12.72741110903883,8,8,8,14673.363,14936.255999999998
2CXO J023150.9-364019 ,37.96228638592265,-36.672216052497156,8,7,8,19989.442,23027.519
2CXO J075059.6+500322 ,117.74852611419658,50.05617401247415,8,7,8,5981.043000000001,6505.099
2CXO J083824.0+254516 ,129.60032597170715,25.754654016836593,8,8,8,11995.154999999999,11551.534
2CXO J004125.9+252945 ,10.35809034204999,25.496029675133286,8,7,8,15126.815,18605.36
2CXO J125306.8-091152 ,193.27843171071527,-9.197982486039741,8,8,8,13208.277,13512.373
2CXO J020924.5-100811 ,32.35246294156849,-10.136545025309267,8,8,8,20894.001999999997,21253.43
2CXO J211900.8-483348 ,319.75341509352177,-48.56349083186151,8,8,8,5024.259,5074.473
2CXO J121949.1+060055 ,184.95495358844892,6.015408606676482,8,8,8,9764.068000000001,10148.842
2CXO J020924.5-100809 ,32.352485592894254,-10.135919442327136,8,8,8,20894.001999999997,21253.43
2CXO J133950.4+005019 ,204.96041480144982,0.8388368669950134,8,8,8,17470.147,17962.229
2CXO J023532.4-070845 ,38.885319166484294,-7.146018473738003,8,8,8,5956.197,5967.799
2CXO J044001.8-453409 ,70.00772476227064,-45.56920555937175,8,8,8,13771.611,13897.633
2CXO J133952.3+005018 ,204.9682068685438,0.8385707335410304,8,8,8,17470.147,17962.229
2CXO J130446.3+532955 ,196.19321625476675,53.49861177017742,8,7,7,12435.193000000001,13691.391000000001
2CXO J211900.3-483343 ,319.75125794401333,-48.56214093008019,8,8,8,5024.259,5074.473
2CXO J033849.6-261955 ,54.707083034638174,-26.332156740868204,8,8,8,5355.446,5401.6230000000005
2CXO J064837.2-641623 ,102.1553616379797,-64.27323246539515,8,8,8,2178.25,2215.59
2CXO J033852.1-262015 ,54.71712418842833,-26.337682653565746,8,8,8,5355.446,5401.6230000000005
2CXO J033852.1-262109 ,54.71720181291414,-26.352751814328336,8,8,8,5355.446,5401.6230000000005
2CXO J033853.5-261942 ,54.72330418495824,-26.328542916542396,8,8,8,5355.446,5401.6230000000005
2CXO J004128.0+252958 ,10.366803800084881,25.499456245062216,8,7,8,15126.815,18605.36
2CXO J145924.0-163726 ,224.8504138156992,-16.623917438714383,8,8,8,19152.531,19095.217
2CXO J145927.7-163724 ,224.86578270895814,-16.623367546514313,8,8,8,19152.531,19095.217
2CXO J145924.8-164135 ,224.85335126590894,-16.693319484354987,8,8,8,19152.531,19095.217
