name,length,N_obs,N_bad,N_good,N_UL,simbad_name,xrt_curve,uvot_filter
tab_5_sig,99,99,0,99,0,M82_X-2,FULL,UVW1
tab_UL,0,0,0,0,0,M82_X-2,FULL,UVW1
tab_no_UL,99,99,0,99,0,M82_X-2,FULL,UVW1
tab_BAD,0,0,0,0,0,M82_X-2,FULL,UVW1
tab_no_BAD,99,99,0,99,0,M82_X-2,FULL,UVW1
tab_UL_no_bad,0,0,0,0,0,M82_X-2,FULL,UVW1
tab_no_UL_no_bad,99,99,0,99,0,M82_X-2,FULL,UVW1
tab,98,98,0,98,5,M82_X-2,FULL,UVW2
tab_5_sig,98,98,0,98,5,M82_X-2,FULL,UVW2
tab_UL,5,5,0,5,5,M82_X-2,FULL,UVW2
tab_no_UL,93,93,0,93,0,M82_X-2,FULL,UVW2
tab_BAD,0,0,0,0,0,M82_X-2,FULL,UVW2
tab_no_BAD,98,98,0,98,5,M82_X-2,FULL,UVW2
tab_UL_no_bad,5,5,0,5,5,M82_X-2,FULL,UVW2
tab_no_UL_no_bad,93,93,0,93,0,M82_X-2,FULL,UVW2
tab,41,41,0,41,3,M82_X-2,FULL,V
tab_5_sig,41,41,0,41,3,M82_X-2,FULL,V
tab_UL,3,3,0,3,3,M82_X-2,FULL,V
tab_no_UL,38,38,0,38,0,M82_X-2,FULL,V
tab_BAD,0,0,0,0,0,M82_X-2,FULL,V
tab_no_BAD,41,41,0,41,3,M82_X-2,FULL,V
tab_UL_no_bad,3,3,0,3,3,M82_X-2,FULL,V
tab_no_UL_no_bad,38,38,0,38,0,M82_X-2,FULL,V
tab,41,41,0,41,0,M82_X-2,HARD,B
tab_5_sig,41,41,0,41,0,M82_X-2,HARD,B
tab_UL,0,0,0,0,0,M82_X-2,HARD,B
tab_no_UL,41,41,0,41,0,M82_X-2,HARD,B
tab_BAD,0,0,0,0,0,M82_X-2,HARD,B
tab_no_BAD,41,41,0,41,0,M82_X-2,HARD,B
tab_UL_no_bad,0,0,0,0,0,M82_X-2,HARD,B
tab_no_UL_no_bad,41,41,0,41,0,M82_X-2,HARD,B
tab,81,81,0,81,0,M82_X-2,HARD,U
tab_5_sig,81,81,0,81,0,M82_X-2,HARD,U
tab_UL,0,0,0,0,0,M82_X-2,HARD,U
tab_no_UL,81,81,0,81,0,M82_X-2,HARD,U
tab_BAD,0,0,0,0,0,M82_X-2,HARD,U
tab_no_BAD,81,81,0,81,0,M82_X-2,HARD,U
tab_UL_no_bad,0,0,0,0,0,M82_X-2,HARD,U
tab_no_UL_no_bad,81,81,0,81,0,M82_X-2,HARD,U
tab,108,108,0,108,0,M82_X-2,HARD,UVM2
tab_5_sig,108,108,0,108,0,M82_X-2,HARD,UVM2
tab_UL,0,0,0,0,0,M82_X-2,HARD,UVM2
tab_no_UL,108,108,0,108,0,M82_X-2,HARD,UVM2
tab_BAD,0,0,0,0,0,M82_X-2,HARD,UVM2
tab_no_BAD,108,108,0,108,0,M82_X-2,HARD,UVM2
tab_UL_no_bad,0,0,0,0,0,M82_X-2,HARD,UVM2
tab_no_UL_no_bad,108,108,0,108,0,M82_X-2,HARD,UVM2
tab,99,99,0,99,0,M82_X-2,HARD,UVW1
tab_5_sig,99,99,0,99,0,M82_X-2,HARD,UVW1
tab_UL,0,0,0,0,0,M82_X-2,HARD,UVW1
tab_no_UL,99,99,0,99,0,M82_X-2,HARD,UVW1
tab_BAD,0,0,0,0,0,M82_X-2,HARD,UVW1
tab_no_BAD,99,99,0,99,0,M82_X-2,HARD,UVW1
tab_UL_no_bad,0,0,0,0,0,M82_X-2,HARD,UVW1
tab_no_UL_no_bad,99,99,0,99,0,M82_X-2,HARD,UVW1
tab,98,98,0,98,0,M82_X-2,HARD,UVW2
tab_5_sig,98,98,0,98,0,M82_X-2,HARD,UVW2
tab_UL,0,0,0,0,0,M82_X-2,HARD,UVW2
tab_no_UL,98,98,0,98,0,M82_X-2,HARD,UVW2
tab_BAD,0,0,0,0,0,M82_X-2,HARD,UVW2
tab_no_BAD,98,98,0,98,0,M82_X-2,HARD,UVW2
tab_UL_no_bad,0,0,0,0,0,M82_X-2,HARD,UVW2
tab_no_UL_no_bad,98,98,0,98,0,M82_X-2,HARD,UVW2
tab,41,41,0,41,0,M82_X-2,HARD,V
tab_5_sig,41,41,0,41,0,M82_X-2,HARD,V
tab_UL,0,0,0,0,0,M82_X-2,HARD,V
tab_no_UL,41,41,0,41,0,M82_X-2,HARD,V
tab_BAD,0,0,0,0,0,M82_X-2,HARD,V
tab_no_BAD,41,41,0,41,0,M82_X-2,HARD,V
tab_UL_no_bad,0,0,0,0,0,M82_X-2,HARD,V
tab_no_UL_no_bad,41,41,0,41,0,M82_X-2,HARD,V
tab,41,41,0,41,0,M82_X-2,HR,B
tab_5_sig,39,39,0,39,0,M82_X-2,HR,B
tab_UL,0,0,0,0,0,M82_X-2,HR,B
tab_no_UL,39,39,0,39,0,M82_X-2,HR,B
tab_BAD,0,0,0,0,0,M82_X-2,HR,B
tab_no_BAD,39,39,0,39,0,M82_X-2,HR,B
tab_UL_no_bad,0,0,0,0,0,M82_X-2,HR,B
tab_no_UL_no_bad,39,39,0,39,0,M82_X-2,HR,B
tab,81,81,0,81,0,M82_X-2,HR,U
tab_5_sig,81,81,0,81,0,M82_X-2,HR,U
tab_UL,0,0,0,0,0,M82_X-2,HR,U
tab_no_UL,81,81,0,81,0,M82_X-2,HR,U
tab_BAD,0,0,0,0,0,M82_X-2,HR,U
tab_no_BAD,81,81,0,81,0,M82_X-2,HR,U
tab_UL_no_bad,0,0,0,0,0,M82_X-2,HR,U
tab_no_UL_no_bad,81,81,0,81,0,M82_X-2,HR,U
tab,108,108,0,108,0,M82_X-2,HR,UVM2
tab_5_sig,107,107,0,107,0,M82_X-2,HR,UVM2
tab_UL,0,0,0,0,0,M82_X-2,HR,UVM2
tab_no_UL,107,107,0,107,0,M82_X-2,HR,UVM2
tab_BAD,0,0,0,0,0,M82_X-2,HR,UVM2
tab_no_BAD,107,107,0,107,0,M82_X-2,HR,UVM2
tab_UL_no_bad,0,0,0,0,0,M82_X-2,HR,UVM2
tab_no_UL_no_bad,107,107,0,107,0,M82_X-2,HR,UVM2
tab,99,99,0,99,0,M82_X-2,HR,UVW1
tab_5_sig,98,98,0,98,0,M82_X-2,HR,UVW1
tab_UL,0,0,0,0,0,M82_X-2,HR,UVW1
tab_no_UL,98,98,0,98,0,M82_X-2,HR,UVW1
tab_BAD,0,0,0,0,0,M82_X-2,HR,UVW1
tab_no_BAD,98,98,0,98,0,M82_X-2,HR,UVW1
tab_UL_no_bad,0,0,0,0,0,M82_X-2,HR,UVW1
tab_no_UL_no_bad,98,98,0,98,0,M82_X-2,HR,UVW1
tab,98,98,0,98,0,M82_X-2,HR,UVW2
tab_5_sig,93,93,0,93,0,M82_X-2,HR,UVW2
tab_UL,0,0,0,0,0,M82_X-2,HR,UVW2
tab_no_UL,93,93,0,93,0,M82_X-2,HR,UVW2
tab_BAD,0,0,0,0,0,M82_X-2,HR,UVW2
tab_no_BAD,93,93,0,93,0,M82_X-2,HR,UVW2
tab_UL_no_bad,0,0,0,0,0,M82_X-2,HR,UVW2
tab_no_UL_no_bad,93,93,0,93,0,M82_X-2,HR,UVW2
tab,41,41,0,41,0,M82_X-2,HR,V
tab_5_sig,39,39,0,39,0,M82_X-2,HR,V
tab_UL,0,0,0,0,0,M82_X-2,HR,V
tab_no_UL,39,39,0,39,0,M82_X-2,HR,V
tab_BAD,0,0,0,0,0,M82_X-2,HR,V
tab_no_BAD,39,39,0,39,0,M82_X-2,HR,V
tab_UL_no_bad,0,0,0,0,0,M82_X-2,HR,V
tab_no_UL_no_bad,39,39,0,39,0,M82_X-2,HR,V
tab,41,41,0,41,0,M82_X-2,SOFT,B
tab_5_sig,41,41,0,41,0,M82_X-2,SOFT,B
tab_UL,0,0,0,0,0,M82_X-2,SOFT,B
tab_no_UL,41,41,0,41,0,M82_X-2,SOFT,B
tab_BAD,0,0,0,0,0,M82_X-2,SOFT,B
tab_no_BAD,41,41,0,41,0,M82_X-2,SOFT,B
tab_UL_no_bad,0,0,0,0,0,M82_X-2,SOFT,B
tab_no_UL_no_bad,41,41,0,41,0,M82_X-2,SOFT,B
tab,81,81,0,81,0,M82_X-2,SOFT,U
tab_5_sig,81,81,0,81,0,M82_X-2,SOFT,U
tab_UL,0,0,0,0,0,M82_X-2,SOFT,U
tab_no_UL,81,81,0,81,0,M82_X-2,SOFT,U
tab_BAD,0,0,0,0,0,M82_X-2,SOFT,U
tab_no_BAD,81,81,0,81,0,M82_X-2,SOFT,U
tab_UL_no_bad,0,0,0,0,0,M82_X-2,SOFT,U
tab_no_UL_no_bad,81,81,0,81,0,M82_X-2,SOFT,U
tab,108,108,0,108,0,M82_X-2,SOFT,UVM2
tab_5_sig,107,107,0,107,0,M82_X-2,SOFT,UVM2
tab_UL,0,0,0,0,0,M82_X-2,SOFT,UVM2
tab_no_UL,107,107,0,107,0,M82_X-2,SOFT,UVM2
tab_BAD,0,0,0,0,0,M82_X-2,SOFT,UVM2
tab_no_BAD,107,107,0,107,0,M82_X-2,SOFT,UVM2
tab_UL_no_bad,0,0,0,0,0,M82_X-2,SOFT,UVM2
tab_no_UL_no_bad,107,107,0,107,0,M82_X-2,SOFT,UVM2
tab,99,99,0,99,0,M82_X-2,SOFT,UVW1
tab_5_sig,99,99,0,99,0,M82_X-2,SOFT,UVW1
tab_UL,0,0,0,0,0,M82_X-2,SOFT,UVW1
tab_no_UL,99,99,0,99,0,M82_X-2,SOFT,UVW1
tab_BAD,0,0,0,0,0,M82_X-2,SOFT,UVW1
tab_no_BAD,99,99,0,99,0,M82_X-2,SOFT,UVW1
tab_UL_no_bad,0,0,0,0,0,M82_X-2,SOFT,UVW1
tab_no_UL_no_bad,99,99,0,99,0,M82_X-2,SOFT,UVW1
tab,98,98,0,98,0,M82_X-2,SOFT,UVW2
tab_5_sig,98,98,0,98,0,M82_X-2,SOFT,UVW2
tab_UL,0,0,0,0,0,M82_X-2,SOFT,UVW2
tab_no_UL,98,98,0,98,0,M82_X-2,SOFT,UVW2
tab_BAD,0,0,0,0,0,M82_X-2,SOFT,UVW2
tab_no_BAD,98,98,0,98,0,M82_X-2,SOFT,UVW2
tab_UL_no_bad,0,0,0,0,0,M82_X-2,SOFT,UVW2
tab_no_UL_no_bad,98,98,0,98,0,M82_X-2,SOFT,UVW2
tab,41,41,0,41,0,M82_X-2,SOFT,V
tab_5_sig,41,41,0,41,0,M82_X-2,SOFT,V
tab_UL,0,0,0,0,0,M82_X-2,SOFT,V
tab_no_UL,41,41,0,41,0,M82_X-2,SOFT,V
tab_BAD,0,0,0,0,0,M82_X-2,SOFT,V
tab_no_BAD,41,41,0,41,0,M82_X-2,SOFT,V
tab_UL_no_bad,0,0,0,0,0,M82_X-2,SOFT,V
tab_no_UL_no_bad,41,41,0,41,0,M82_X-2,SOFT,V
