name,length,N_obs,N_bad,N_good,N_UL,simbad_name,xrt_curve,uvot_filter,include_bad,include_UL
tab_UL,0,0,0,0,0,Holmberg_II_X-1,SOFT,UVM2,True,False
tab_no_UL,31,31,1,30,0,Holmberg_II_X-1,SOFT,UVM2,True,False
tab_BAD,1,1,1,0,0,Holmberg_II_X-1,SOFT,UVM2,True,False
tab_no_BAD,30,30,0,30,0,Holmberg_II_X-1,SOFT,UVM2,True,False
tab_UL_no_bad,0,0,0,0,0,Holmberg_II_X-1,SOFT,UVM2,True,False
tab_no_UL_no_bad,30,30,0,30,0,Holmberg_II_X-1,SOFT,UVM2,True,False
tab,52,52,0,52,0,Holmberg_II_X-1,SOFT,UVW1,False,False
tab_5_sig,52,52,0,52,0,Holmberg_II_X-1,SOFT,UVW1,False,False
tab_UL,0,0,0,0,0,Holmberg_II_X-1,SOFT,UVW1,False,False
tab_no_UL,52,52,0,52,0,Holmberg_II_X-1,SOFT,UVW1,False,False
tab_BAD,0,0,0,0,0,Holmberg_II_X-1,SOFT,UVW1,False,False
tab_no_BAD,52,52,0,52,0,Holmberg_II_X-1,SOFT,UVW1,False,False
tab_UL_no_bad,0,0,0,0,0,Holmberg_II_X-1,SOFT,UVW1,False,False
tab_no_UL_no_bad,52,52,0,52,0,Holmberg_II_X-1,SOFT,UVW1,False,False
tab,52,52,0,52,0,Holmberg_II_X-1,SOFT,UVW1,True,False
tab_5_sig,52,52,0,52,0,Holmberg_II_X-1,SOFT,UVW1,True,False
tab_UL,0,0,0,0,0,Holmberg_II_X-1,SOFT,UVW1,True,False
tab_no_UL,52,52,0,52,0,Holmberg_II_X-1,SOFT,UVW1,True,False
tab_BAD,0,0,0,0,0,Holmberg_II_X-1,SOFT,UVW1,True,False
tab_no_BAD,52,52,0,52,0,Holmberg_II_X-1,SOFT,UVW1,True,False
tab_UL_no_bad,0,0,0,0,0,Holmberg_II_X-1,SOFT,UVW1,True,False
tab_no_UL_no_bad,52,52,0,52,0,Holmberg_II_X-1,SOFT,UVW1,True,False
tab,46,46,3,43,0,Holmberg_II_X-1,SOFT,UVW2,False,False
tab_5_sig,46,46,3,43,0,Holmberg_II_X-1,SOFT,UVW2,False,False
tab_UL,0,0,0,0,0,Holmberg_II_X-1,SOFT,UVW2,False,False
tab_no_UL,46,46,3,43,0,Holmberg_II_X-1,SOFT,UVW2,False,False
tab_BAD,3,3,3,0,0,Holmberg_II_X-1,SOFT,UVW2,False,False
tab_no_BAD,43,43,0,43,0,Holmberg_II_X-1,SOFT,UVW2,False,False
tab_UL_no_bad,0,0,0,0,0,Holmberg_II_X-1,SOFT,UVW2,False,False
tab_no_UL_no_bad,43,43,0,43,0,Holmberg_II_X-1,SOFT,UVW2,False,False
tab,46,46,3,43,0,Holmberg_II_X-1,SOFT,UVW2,True,False
tab_5_sig,46,46,3,43,0,Holmberg_II_X-1,SOFT,UVW2,True,False
tab_UL,0,0,0,0,0,Holmberg_II_X-1,SOFT,UVW2,True,False
tab_no_UL,46,46,3,43,0,Holmberg_II_X-1,SOFT,UVW2,True,False
tab_BAD,3,3,3,0,0,Holmberg_II_X-1,SOFT,UVW2,True,False
tab_no_BAD,43,43,0,43,0,Holmberg_II_X-1,SOFT,UVW2,True,False
tab_UL_no_bad,0,0,0,0,0,Holmberg_II_X-1,SOFT,UVW2,True,False
tab_no_UL_no_bad,43,43,0,43,0,Holmberg_II_X-1,SOFT,UVW2,True,False
tab,31,31,26,5,25,M31_ULX-1,FULL,U,False,False
tab_5_sig,30,30,25,5,24,M31_ULX-1,FULL,U,False,False
tab_UL,24,24,23,1,24,M31_ULX-1,FULL,U,False,False
tab_no_UL,6,6,2,4,0,M31_ULX-1,FULL,U,False,False
tab_BAD,25,25,25,0,23,M31_ULX-1,FULL,U,False,False
tab_no_BAD,5,5,0,5,1,M31_ULX-1,FULL,U,False,False
tab_UL_no_bad,1,1,0,1,1,M31_ULX-1,FULL,U,False,False
tab_no_UL_no_bad,4,4,0,4,0,M31_ULX-1,FULL,U,False,False
tab,31,31,26,5,25,M31_ULX-1,FULL,U,False,True
tab_5_sig,30,30,25,5,24,M31_ULX-1,FULL,U,False,True
tab_UL,24,24,23,1,24,M31_ULX-1,FULL,U,False,True
tab_no_UL,6,6,2,4,0,M31_ULX-1,FULL,U,False,True
tab_BAD,25,25,25,0,23,M31_ULX-1,FULL,U,False,True
tab_no_BAD,5,5,0,5,1,M31_ULX-1,FULL,U,False,True
tab_UL_no_bad,1,1,0,1,1,M31_ULX-1,FULL,U,False,True
tab_no_UL_no_bad,4,4,0,4,0,M31_ULX-1,FULL,U,False,True
tab,31,31,26,5,25,M31_ULX-1,FULL,U,True,False
tab_5_sig,30,30,25,5,24,M31_ULX-1,FULL,U,True,False
tab_UL,24,24,23,1,24,M31_ULX-1,FULL,U,True,False
tab_no_UL,6,6,2,4,0,M31_ULX-1,FULL,U,True,False
tab_BAD,25,25,25,0,23,M31_ULX-1,FULL,U,True,False
tab_no_BAD,5,5,0,5,1,M31_ULX-1,FULL,U,True,False
tab_UL_no_bad,1,1,0,1,1,M31_ULX-1,FULL,U,True,False
tab_no_UL_no_bad,4,4,0,4,0,M31_ULX-1,FULL,U,True,False
